trade_id,order_id,event_time,instrument,side,quantity,price,account_id,client_id,venue
T-0000044,O-0000044,2026-08-25T09:30:37.400000Z,LIQD.P,BUY,5354,42.0834,A-244,CLIENT-44,XLON
T-0000045,O-0000045,2026-08-25T09:30:38.250000Z,NOVA.L,SELL,6421,42.0938,A-245,CLIENT-45,XLON
T-0000046,O-0000046,2026-08-25T09:30:39.100000Z,ALTO.N,BUY,4699,42.0957,A-246,CLIENT-46,XLON
T-0000047,O-0000047,2026-08-25T09:30:39.950000Z,QUAD.N,SELL,4029,42.0886,A-247,CLIENT-47,XLON
T-0000048,O-0000048,2026-08-25T09:30:40.800000Z,MEGA.O,BUY,3931,42.1021,A-248,CLIENT-48,XLON
T-0000049,O-0000049,2026-08-25T09:30:41.650000Z,LIQD.P,SELL,5443,42.0934,A-249,CLIENT-49,XLON
T-0000050,O-0000050,2026-08-25T09:30:42.500000Z,NOVA.L,BUY,5000,42.0942,A-104,CLIENT-LINKED,XLON
T-0000051,O-0000051,2026-08-25T09:30:43.350000Z,NOVA.L,SELL,5001,42.1109,A-882,CLIENT-LINKED,XLON
T-0000052,O-0000052,2026-08-25T09:30:44.200000Z,NOVA.L,BUY,5002,42.1115,A-104,CLIENT-LINKED,XLON
T-0000053,O-0000053,2026-08-25T09:30:45.050000Z,NOVA.L,SELL,5003,42.1023,A-882,CLIENT-LINKED,XLON
T-0000054,O-0000054,2026-08-25T09:30:45.900000Z,LIQD.P,BUY,6484,42.108,A-254,CLIENT-54,XLON
T-0000055,O-0000055,2026-08-25T09:30:46.750000Z,NOVA.L,SELL,6433,42.1092,A-255,CLIENT-55,XLON
T-0000056,O-0000056,2026-08-25T09:30:47.600000Z,ALTO.N,BUY,4884,42.1048,A-256,CLIENT-56,XLON
T-0000057,O-0000057,2026-08-25T09:30:48.450000Z,QUAD.N,SELL,6099,42.1148,A-257,CLIENT-57,XLON
T-0000058,O-0000058,2026-08-25T09:30:49.300000Z,MEGA.O,BUY,6194,42.1146,A-258,CLIENT-58,XLON
T-0000059,O-0000059,2026-08-25T09:30:50.150000Z,LIQD.P,SELL,6190,42.116,A-259,CLIENT-59,XLON
T-0000060,O-0000060,2026-08-25T09:30:51Z,NOVA.L,BUY,5000,42.1144,A-104,CLIENT-LINKED,XLON
T-0000061,O-0000061,2026-08-25T09:30:51.850000Z,NOVA.L,SELL,5001,42.132,A-882,CLIENT-LINKED,XLON
T-0000062,O-0000062,2026-08-25T09:30:52.700000Z,NOVA.L,BUY,5002,42.1242,A-104,CLIENT-LINKED,XLON
T-0000063,O-0000063,2026-08-25T09:30:53.550000Z,NOVA.L,SELL,5003,42.1178,A-882,CLIENT-LINKED,XLON
T-0000064,O-0000064,2026-08-25T09:30:54.400000Z,LIQD.P,BUY,3992,42.1352,A-204,CLIENT-4,XLON
T-0000065,O-0000065,2026-08-25T09:30:55.250000Z,NOVA.L,SELL,4426,42.1325,A-205,CLIENT-5,XLON
T-0000066,O-0000066,2026-08-25T09:30:56.100000Z,ALTO.N,BUY,6587,42.1304,A-206,CLIENT-6,XLON
T-0000067,O-0000067,2026-08-25T09:30:56.950000Z,QUAD.N,SELL,4060,42.1317,A-207,CLIENT-7,XLON
T-0000068,O-0000068,2026-08-25T09:30:57.800000Z,MEGA.O,BUY,6240,42.1459,A-208,CLIENT-8,XLON
T-0000069,O-0000069,2026-08-25T09:30:58.650000Z,LIQD.P,SELL,5967,42.133,A-209,CLIENT-9,XLON
T-0000070,O-0000070,2026-08-25T09:30:59.500000Z,NOVA.L,BUY,5000,42.1411,A-104,CLIENT-LINKED,XLON
T-0000071,O-0000071,2026-08-25T09:31:00.350000Z,NOVA.L,SELL,5001,42.1508,A-882,CLIENT-LINKED,XLON
T-0000072,O-0000072,2026-08-25T09:31:01.200000Z,NOVA.L,BUY,5002,42.1476,A-104,CLIENT-LINKED,XLON
T-0000073,O-0000073,2026-08-25T09:31:02.050000Z,NOVA.L,SELL,5003,42.1383,A-882,CLIENT-LINKED,XLON
T-0000074,O-0000074,2026-08-25T09:31:02.900000Z,LIQD.P,BUY,5999,42.153,A-214,CLIENT-14,XLON
T-0000075,O-0000075,2026-08-25T09:31:03.750000Z,NOVA.L,SELL,6425,42.1468,A-215,CLIENT-15,XLON
T-0000076,O-0000076,2026-08-25T09:31:04.600000Z,ALTO.N,BUY,5002,42.1507,A-216,CLIENT-16,XLON
T-0000077,O-0000077,2026-08-25T09:31:05.450000Z,QUAD.N,SELL,5658,42.1441,A-217,CLIENT-17,XLON
T-0000078,O-0000078,2026-08-25T09:31:06.300000Z,MEGA.O,BUY,6757,42.1635,A-218,CLIENT-18,XLON
T-0000079,O-0000079,2026-08-25T09:31:07.150000Z,LIQD.P,SELL,4878,42.1674,A-219,CLIENT-19,XLON
T-0000080,O-0000080,2026-08-25T09:31:08Z,NOVA.L,BUY,5000,42.0052,A-104,CLIENT-LINKED,XLON
T-0000081,O-0000081,2026-08-25T09:31:08.850000Z,NOVA.L,SELL,5001,42.0022,A-882,CLIENT-LINKED,XLON
T-0000082,O-0000082,2026-08-25T09:31:09.700000Z,NOVA.L,BUY,5002,41.9961,A-104,CLIENT-LINKED,XLON
T-0000083,O-0000083,2026-08-25T09:31:10.550000Z,NOVA.L,SELL,5003,42.0085,A-882,CLIENT-LINKED,XLON
T-0000084,O-0000084,2026-08-25T09:31:11.400000Z,LIQD.P,BUY,6417,42.0082,A-224,CLIENT-24,XLON
T-0000085,O-0000085,2026-08-25T09:31:12.250000Z,NOVA.L,SELL,4614,42.0031,A-225,CLIENT-25,XLON
T-0000086,O-0000086,2026-08-25T09:31:13.100000Z,ALTO.N,BUY,4461,42.0128,A-226,CLIENT-26,XLON
T-0000087,O-0000087,2026-08-25T09:31:13.950000Z,QUAD.N,SELL,5972,42.0224,A-227,CLIENT-27,XLON
T-0000088,O-0000088,2026-08-25T09:31:14.800000Z,MEGA.O,BUY,6253,42.0125,A-228,CLIENT-28,XLON
T-0000089,O-0000089,2026-08-25T09:31:15.650000Z,LIQD.P,SELL,3879,42.0102,A-229,CLIENT-29,XLON
T-0000090,O-0000090,2026-08-25T09:31:16.500000Z,NOVA.L,BUY,5000,42.0173,A-104,CLIENT-LINKED,XLON
T-0000091,O-0000091,2026-08-25T09:31:17.350000Z,NOVA.L,SELL,5001,42.0317,A-882,CLIENT-LINKED,XLON
T-0000092,O-0000092,2026-08-25T09:31:18.200000Z,NOVA.L,BUY,5002,42.0301,A-104,CLIENT-LINKED,XLON
T-0000093,O-0000093,2026-08-25T09:31:19.050000Z,NOVA.L,SELL,5003,42.0208,A-882,CLIENT-LINKED,XLON
T-0000094,O-0000094,2026-08-25T09:31:19.900000Z,LIQD.P,BUY,4786,42.0356,A-234,CLIENT-34,XLON
T-0000095,O-0000095,2026-08-25T09:31:20.750000Z,NOVA.L,SELL,4122,42.0217,A-235,CLIENT-35,XLON
T-0000096,O-0000096,2026-08-25T09:31:21.600000Z,ALTO.N,BUY,5790,42.0383,A-236,CLIENT-36,XLON
T-0000097,O-0000097,2026-08-25T09:31:22.450000Z,QUAD.N,SELL,5981,42.0393,A-237,CLIENT-37,XLON
T-0000098,O-0000098,2026-08-25T09:31:23.300000Z,MEGA.O,BUY,4325,42.0392,A-238,CLIENT-38,XLON
T-0000099,O-0000099,2026-08-25T09:31:24.150000Z,LIQD.P,SELL,6051,42.0313,A-239,CLIENT-39,XLON
T-0000100,O-0000100,2026-08-25T09:31:25Z,NOVA.L,BUY,5000,42.0406,A-104,CLIENT-LINKED,XLON
T-0000101,O-0000101,2026-08-25T09:31:25.850000Z,NOVA.L,SELL,5001,42.0441,A-882,CLIENT-LINKED,XLON
T-0000102,O-0000102,2026-08-25T09:31:26.700000Z,NOVA.L,BUY,5002,42.0533,A-104,CLIENT-LINKED,XLON
T-0000103,O-0000103,2026-08-25T09:31:27.550000Z,NOVA.L,SELL,5003,42.0546,A-882,CLIENT-LINKED,XLON
T-0000104,O-0000104,2026-08-25T09:31:28.400000Z,LIQD.P,BUY,6789,42.0518,A-244,CLIENT-44,XLON
T-0000105,O-0000105,2026-08-25T09:31:29.250000Z,NOVA.L,SELL,6720,42.0462,A-245,CLIENT-45,XLON
T-0000106,O-0000106,2026-08-25T09:31:30.100000Z,ALTO.N,BUY,6551,42.055,A-246,CLIENT-46,XLON
T-0000107,O-0000107,2026-08-25T09:31:30.950000Z,QUAD.N,SELL,5594,42.062,A-247,CLIENT-47,XLON
T-0000108,O-0000108,2026-08-25T09:31:31.800000Z,MEGA.O,BUY,5649,42.0484,A-248,CLIENT-48,XLON
T-0000109,O-0000109,2026-08-25T09:31:32.650000Z,LIQD.P,SELL,4720,42.0493,A-249,CLIENT-49,XLON
T-0000110,O-0000110,2026-08-25T09:31:33.500000Z,NOVA.L,BUY,5000,42.0504,A-104,CLIENT-LINKED,XLON
T-0000111,O-0000111,2026-08-25T09:31:34.350000Z,NOVA.L,SELL,5001,42.0631,A-882,CLIENT-LINKED,XLON
T-0000112,O-0000112,2026-08-25T09:31:35.200000Z,NOVA.L,BUY,5002,42.0658,A-104,CLIENT-LINKED,XLON
T-0000113,O-0000113,2026-08-25T09:31:36.050000Z,NOVA.L,SELL,5003,42.0561,A-882,CLIENT-LINKED,XLON
T-0000114,O-0000114,2026-08-25T09:31:36.900000Z,LIQD.P,BUY,6699,42.0706,A-254,CLIENT-54,XLON
T-0000115,O-0000115,2026-08-25T09:31:37.750000Z,NOVA.L,SELL,4737,42.0613,A-255,CLIENT-55,XLON
T-0000116,O-0000116,2026-08-25T09:31:38.600000Z,ALTO.N,BUY,3928,42.0792,A-256,CLIENT-56,XLON
T-0000117,O-0000117,2026-08-25T09:31:39.450000Z,QUAD.N,SELL,4090,42.0743,A-257,CLIENT-57,XLON
T-0000118,O-0000118,2026-08-25T09:31:40.300000Z,MEGA.O,BUY,4940,42.0794,A-258,CLIENT-58,XLON
T-0000119,O-0000119,2026-08-25T09:31:41.150000Z,LIQD.P,SELL,4677,42.0788,A-259,CLIENT-59,XLON
T-0000120,O-0000120,2026-08-25T09:31:42Z,NOVA.L,BUY,5000,42.0845,A-104,CLIENT-LINKED,XLON
T-0000121,O-0000121,2026-08-25T09:31:42.850000Z,NOVA.L,SELL,5001,42.0896,A-882,CLIENT-LINKED,XLON
T-0000122,O-0000122,2026-08-25T09:31:43.700000Z,NOVA.L,BUY,5002,42.0855,A-104,CLIENT-LINKED,XLON
T-0000123,O-0000123,2026-08-25T09:31:44.550000Z,NOVA.L,SELL,5003,42.0809,A-882,CLIENT-LINKED,XLON
T-0000124,O-0000124,2026-08-25T09:31:45.400000Z,LIQD.P,BUY,5737,42.0941,A-204,CLIENT-4,XLON
T-0000125,O-0000125,2026-08-25T09:31:46.250000Z,NOVA.L,SELL,4579,42.0819,A-205,CLIENT-5,XLON
T-0000126,O-0000126,2026-08-25T09:31:47.100000Z,ALTO.N,BUY,6499,42.0906,A-206,CLIENT-6,XLON
T-0000127,O-0000127,2026-08-25T09:31:47.950000Z,QUAD.N,SELL,5534,42.0922,A-207,CLIENT-7,XLON
T-0000128,O-0000128,2026-08-25T09:31:48.800000Z,MEGA.O,BUY,6786,42.0871,A-208,CLIENT-8,XLON
T-0000129,O-0000129,2026-08-25T09:31:49.650000Z,LIQD.P,SELL,6476,42.1077,A-209,CLIENT-9,XLON
T-0000130,O-0000130,2026-08-25T09:31:50.500000Z,NOVA.L,BUY,5000,42.092,A-104,CLIENT-LINKED,XLON
T-0000131,O-0000131,2026-08-25T09:31:51.350000Z,NOVA.L,SELL,5001,42.1001,A-882,CLIENT-LINKED,XLON
T-0000132,O-0000132,2026-08-25T09:31:52.200000Z,NOVA.L,BUY,5002,42.1008,A-104,CLIENT-LINKED,XLON
T-0000133,O-0000133,2026-08-25T09:31:53.050000Z,NOVA.L,SELL,5003,42.1132,A-882,CLIENT-LINKED,XLON
T-0000134,O-0000134,2026-08-25T09:31:53.900000Z,LIQD.P,BUY,4818,42.1018,A-214,CLIENT-14,XLON
T-0000135,O-0000135,2026-08-25T09:31:54.750000Z,NOVA.L,SELL,5996,42.109,A-215,CLIENT-15,XLON
T-0000136,O-0000136,2026-08-25T09:31:55.600000Z,ALTO.N,BUY,5528,42.1057,A-216,CLIENT-16,XLON
T-0000137,O-0000137,2026-08-25T09:31:56.450000Z,QUAD.N,SELL,5694,42.109,A-217,CLIENT-17,XLON
T-0000138,O-0000138,2026-08-25T09:31:57.300000Z,MEGA.O,BUY,4108,42.1149,A-218,CLIENT-18,XLON
T-0000139,O-0000139,2026-08-25T09:31:58.150000Z,LIQD.P,SELL,6054,42.11,A-219,CLIENT-19,XLON
T-0000140,O-0000140,2026-08-25T09:31:59Z,NOVA.L,BUY,5000,42.123,A-104,CLIENT-LINKED,XLON
T-0000141,O-0000141,2026-08-25T09:31:59.850000Z,NOVA.L,SELL,5001,42.1228,A-882,CLIENT-LINKED,XLON
T-0000142,O-0000142,2026-08-25T09:32:00.700000Z,NOVA.L,BUY,5002,42.1143,A-104,CLIENT-LINKED,XLON
T-0000143,O-0000143,2026-08-25T09:32:01.550000Z,NOVA.L,SELL,5003,42.1179,A-882,CLIENT-LINKED,XLON
T-0000144,O-0000144,2026-08-25T09:32:02.400000Z,LIQD.P,BUY,4768,42.1213,A-224,CLIENT-24,XLON
T-0000145,O-0000145,2026-08-25T09:32:03.250000Z,NOVA.L,SELL,5789,42.1296,A-225,CLIENT-25,XLON
T-0000146,O-0000146,2026-08-25T09:32:04.100000Z,ALTO.N,BUY,5442,42.14,A-226,CLIENT-26,XLON
T-0000147,O-0000147,2026-08-25T09:32:04.950000Z,QUAD.N,SELL,4474,42.1316,A-227,CLIENT-27,XLON
T-0000148,O-0000148,2026-08-25T09:32:05.800000Z,MEGA.O,BUY,5399,42.1313,A-228,CLIENT-28,XLON
T-0000149,O-0000149,2026-08-25T09:32:06.650000Z,LIQD.P,SELL,5663,42.1337,A-229,CLIENT-29,XLON
T-0000150,O-0000150,2026-08-25T09:32:07.500000Z,NOVA.L,BUY,5000,42.1439,A-104,CLIENT-LINKED,XLON
T-0000151,O-0000151,2026-08-25T09:32:08.350000Z,NOVA.L,SELL,5001,42.1466,A-882,CLIENT-LINKED,XLON
T-0000152,O-0000152,2026-08-25T09:32:09.200000Z,NOVA.L,BUY,5002,42.1497,A-104,CLIENT-LINKED,XLON
T-0000153,O-0000153,2026-08-25T09:32:10.050000Z,NOVA.L,SELL,5003,42.1492,A-882,CLIENT-LINKED,XLON
T-0000154,O-0000154,2026-08-25T09:32:10.900000Z,LIQD.P,BUY,5793,42.1411,A-234,CLIENT-34,XLON
T-0000155,O-0000155,2026-08-25T09:32:11.750000Z,NOVA.L,SELL,5015,42.1444,A-235,CLIENT-35,XLON
T-0000156,O-0000156,2026-08-25T09:32:12.600000Z,ALTO.N,BUY,4039,42.1536,A-236,CLIENT-36,XLON
T-0000157,O-0000157,2026-08-25T09:32:13.450000Z,QUAD.N,SELL,6020,42.1452,A-237,CLIENT-37,XLON
T-0000158,O-0000158,2026-08-25T09:32:14.300000Z,MEGA.O,BUY,5084,42.1471,A-238,CLIENT-38,XLON
T-0000159,O-0000159,2026-08-25T09:32:15.150000Z,LIQD.P,SELL,6192,42.1575,A-239,CLIENT-39,XLON
T-0000160,O-0000160,2026-08-25T09:32:16Z,NOVA.L,BUY,5000,42.0084,A-104,CLIENT-LINKED,XLON
T-0000161,O-0000161,2026-08-25T09:32:16.850000Z,NOVA.L,SELL,5001,42.0026,A-882,CLIENT-LINKED,XLON
T-0000162,O-0000162,2026-08-25T09:32:17.700000Z,NOVA.L,BUY,5002,41.9951,A-104,CLIENT-LINKED,XLON
T-0000163,O-0000163,2026-08-25T09:32:18.550000Z,NOVA.L,SELL,5003,42.0062,A-882,CLIENT-LINKED,XLON
T-0000164,O-0000164,2026-08-25T09:32:19.400000Z,LIQD.P,BUY,4561,41.9994,A-244,CLIENT-44,XLON
T-0000165,O-0000165,2026-08-25T09:32:20.250000Z,NOVA.L,SELL,4078,42.0135,A-245,CLIENT-45,XLON
T-0000166,O-0000166,2026-08-25T09:32:21.100000Z,ALTO.N,BUY,4763,42.0101,A-246,CLIENT-46,XLON
T-0000167,O-0000167,2026-08-25T09:32:21.950000Z,QUAD.N,SELL,6133,42.0089,A-247,CLIENT-47,XLON
T-0000168,O-0000168,2026-08-25T09:32:22.800000Z,MEGA.O,BUY,6235,42.0068,A-248,CLIENT-48,XLON
T-0000169,O-0000169,2026-08-25T09:32:23.650000Z,LIQD.P,SELL,4135,42.0164,A-249,CLIENT-49,XLON
T-0000170,O-0000170,2026-08-25T09:32:24.500000Z,NOVA.L,BUY,5000,42.0217,A-104,CLIENT-LINKED,XLON
T-0000171,O-0000171,2026-08-25T09:32:25.350000Z,NOVA.L,SELL,5001,42.0225,A-882,CLIENT-LINKED,XLON
T-0000172,O-0000172,2026-08-25T09:32:26.200000Z,NOVA.L,BUY,5002,42.0327,A-104,CLIENT-LINKED,XLON
T-0000173,O-0000173,2026-08-25T09:32:27.050000Z,NOVA.L,SELL,5003,42.0201,A-882,CLIENT-LINKED,XLON
T-0000174,O-0000174,2026-08-25T09:32:27.900000Z,LIQD.P,BUY,6733,42.0243,A-254,CLIENT-54,XLON
T-0000175,O-0000175,2026-08-25T09:32:28.750000Z,NOVA.L,SELL,4887,42.0279,A-255,CLIENT-55,XLON
T-0000176,O-0000176,2026-08-25T09:32:29.600000Z,ALTO.N,BUY,6551,42.0349,A-256,CLIENT-56,XLON
T-0000177,O-0000177,2026-08-25T09:32:30.450000Z,QUAD.N,SELL,5672,42.0303,A-257,CLIENT-57,XLON
T-0000178,O-0000178,2026-08-25T09:32:31.300000Z,MEGA.O,BUY,4097,42.0262,A-258,CLIENT-58,XLON
T-0000179,O-0000179,2026-08-25T09:32:32.150000Z,LIQD.P,SELL,6344,42.048,A-259,CLIENT-59,XLON
T-0000180,O-0000180,2026-08-25T09:32:33Z,NOVA.L,BUY,5000,42.0499,A-104,CLIENT-LINKED,XLON
T-0000181,O-0000181,2026-08-25T09:32:33.850000Z,NOVA.L,SELL,5001,42.0335,A-882,CLIENT-LINKED,XLON
T-0000182,O-0000182,2026-08-25T09:32:34.700000Z,NOVA.L,BUY,5002,42.0383,A-104,CLIENT-LINKED,XLON
T-0000183,O-0000183,2026-08-25T09:32:35.550000Z,NOVA.L,SELL,5003,42.0413,A-882,CLIENT-LINKED,XLON
T-0000184,O-0000184,2026-08-25T09:32:36.400000Z,LIQD.P,BUY,5229,42.0556,A-204,CLIENT-4,XLON
T-0000185,O-0000185,2026-08-25T09:32:37.250000Z,NOVA.L,SELL,4800,42.0474,A-205,CLIENT-5,XLON
T-0000186,O-0000186,2026-08-25T09:32:38.100000Z,ALTO.N,BUY,4446,42.0508,A-206,CLIENT-6,XLON
T-0000187,O-0000187,2026-08-25T09:32:38.950000Z,QUAD.N,SELL,6025,42.0581,A-207,CLIENT-7,XLON
T-0000188,O-0000188,2026-08-25T09:32:39.800000Z,MEGA.O,BUY,6305,42.0657,A-208,CLIENT-8,XLON
T-0000189,O-0000189,2026-08-25T09:32:40.650000Z,LIQD.P,SELL,6478,42.0586,A-209,CLIENT-9,XLON
T-0000190,O-0000190,2026-08-25T09:32:41.500000Z,NOVA.L,BUY,5000,42.0634,A-104,CLIENT-LINKED,XLON
T-0000191,O-0000191,2026-08-25T09:32:42.350000Z,NOVA.L,SELL,5001,42.0631,A-882,CLIENT-LINKED,XLON
T-0000192,O-0000192,2026-08-25T09:32:43.200000Z,NOVA.L,BUY,5002,42.0726,A-104,CLIENT-LINKED,XLON
T-0000193,O-0000193,2026-08-25T09:32:44.050000Z,NOVA.L,SELL,5003,42.0581,A-882,CLIENT-LINKED,XLON
T-0000194,O-0000194,2026-08-25T09:32:44.900000Z,LIQD.P,BUY,4350,42.0633,A-214,CLIENT-14,XLON
T-0000195,O-0000195,2026-08-25T09:32:45.750000Z,NOVA.L,SELL,4238,42.0748,A-215,CLIENT-15,XLON
T-0000196,O-0000196,2026-08-25T09:32:46.600000Z,ALTO.N,BUY,4436,42.0674,A-216,CLIENT-16,XLON
T-0000197,O-0000197,2026-08-25T09:32:47.450000Z,QUAD.N,SELL,6277,42.0682,A-217,CLIENT-17,XLON
T-0000198,O-0000198,2026-08-25T09:32:48.300000Z,MEGA.O,BUY,5204,42.0701,A-218,CLIENT-18,XLON
T-0000199,O-0000199,2026-08-25T09:32:49.150000Z,LIQD.P,SELL,6397,42.0851,A-219,CLIENT-19,XLON
T-0000200,O-0000200,2026-08-25T09:32:50Z,NOVA.L,BUY,5000,42.0801,A-104,CLIENT-LINKED,XLON
T-0000201,O-0000201,2026-08-25T09:32:50.850000Z,NOVA.L,SELL,5001,42.077,A-882,CLIENT-LINKED,XLON
T-0000202,O-0000202,2026-08-25T09:32:51.700000Z,NOVA.L,BUY,5002,42.0922,A-104,CLIENT-LINKED,XLON
T-0000203,O-0000203,2026-08-25T09:32:52.550000Z,NOVA.L,SELL,5003,42.077,A-882,CLIENT-LINKED,XLON
T-0000204,O-0000204,2026-08-25T09:32:53.400000Z,LIQD.P,BUY,6398,42.0865,A-224,CLIENT-24,XLON
T-0000205,O-0000205,2026-08-25T09:32:54.250000Z,NOVA.L,SELL,4933,42.0809,A-225,CLIENT-25,XLON
T-0000206,O-0000206,2026-08-25T09:32:55.100000Z,ALTO.N,BUY,5166,42.0974,A-226,CLIENT-26,XLON
T-0000207,O-0000207,2026-08-25T09:32:55.950000Z,QUAD.N,SELL,6409,42.1036,A-227,CLIENT-27,XLON
T-0000208,O-0000208,2026-08-25T09:32:56.800000Z,MEGA.O,BUY,4461,42.1008,A-228,CLIENT-28,XLON
T-0000209,O-0000209,2026-08-25T09:32:57.650000Z,LIQD.P,SELL,6059,42.1021,A-229,CLIENT-29,XLON
T-0000210,O-0000210,2026-08-25T09:32:58.500000Z,NOVA.L,BUY,5000,42.1012,A-104,CLIENT-LINKED,XLON
